what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1355337218877
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1355337218877
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.help.ui,1355337218877
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.bugs,1355337218877
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1355337218877
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1355337218877
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1355337218878
stopped,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1355337218878
stopped,bundle,org.eclipse.wst.common.ui,1.1.302.v200810160107,org.eclipse.wst.common.ui,1355337218878
stopped,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1355337218878
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1355337218878
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1355337218878
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1355337218878
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1355337218879
stopped,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.200706071,org.eclipse.datatools.sqltools.db.derby,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.200706131,org.eclipse.datatools.sqltools.db.generic,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.200706071,org.eclipse.datatools.sqltools.debugger.core,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.200706181,org.eclipse.datatools.sqltools.routineeditor,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.200706181,org.eclipse.datatools.sqltools.sqlscrapbook,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.0.200706181,org.eclipse.datatools.sqltools.sqleditor,1355337218879
stopped,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.0.200706131,org.eclipse.datatools.sqltools.editor.core,1355337218879
stopped,bundle,org.eclipse.datatools.connectivity.derby.ui,1.0.0.200706071,org.eclipse.datatools.connectivity.derby.ui,1355337218879
stopped,bundle,org.eclipse.datatools.connectivity.sqm.fe.ui.actions,1.0.0.200706071,org.eclipse.datatools.connectivity.sqm.fe.ui.actions,1355337218879
stopped,bundle,org.eclipse.datatools.connectivity.sqm.fe.ui,1.0.0.200706071,org.eclipse.datatools.connectivity.sqm.fe.ui,1355337218879
