what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1355337051113
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337054942
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1355337063460
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337069935
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1355337087594
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1355337087595
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1355337088118
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337092405
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337111926
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355337112728
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1355337112802
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1355337113191
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1355337113220
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1355337125778
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1355337128585
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1355337131204
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1355337133804
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1355337143366
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1355337143441
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1355337143496
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337143619
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337145192
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1355337146300
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337161617
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1355337172281
